scope,metric,value,target,n_rows,status_basis
ACTION_LEVEL_H64_RUNTIME_SUPPORT,event_ECE_equal_mass,0.03414835693225283,margin_stress_20pp_by_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,event_Brier,0.07431720092374564,margin_stress_20pp_by_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,event_log_loss,0.23559835549690977,margin_stress_20pp_by_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,quantile_coverage_q10,0.095,max_margin_utilization_excess_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,quantile_coverage_q50,0.4711111111111111,max_margin_utilization_excess_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,quantile_coverage_q90,0.8333333333333334,max_margin_utilization_excess_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,mean_abs_quantile_coverage_error,0.033518518518518524,max_margin_utilization_excess_H64,3600,DEVELOPMENT_ONLY
ACTION_LEVEL_H64_RUNTIME_SUPPORT,interval80_coverage,0.7383333333333333,max_margin_utilization_excess_H64,3600,DEVELOPMENT_ONLY
LONG_075_TO_025,pairwise_relief_rho_ECE_equal_mass,0.09262609757688078,rho(A->B|I_t),720,DEVELOPMENT_ONLY
SHORT_075_TO_025,pairwise_relief_rho_ECE_equal_mass,0.09753652720092533,rho(A->B|I_t),720,DEVELOPMENT_ONLY
SHORT_025_TO_FLAT,pairwise_relief_rho_ECE_equal_mass,0.019453328449060482,rho(A->B|I_t),1080,DEVELOPMENT_ONLY
SHORT_075_TO_FLAT,pairwise_relief_rho_ECE_equal_mass,0.0699718295372049,rho(A->B|I_t),720,DEVELOPMENT_ONLY
